SP,Appear Time,Appear,Species name
Macaca nemestrina,10:00:00 AM,0.4167,Macaca nemestrina
Macaca nemestrina,1:00:00 PM,0.5417,Macaca nemestrina
Macaca nemestrina,2:30:00 PM,0.6042,Macaca nemestrina
Macaca nemestrina,1:30:00 PM,0.5625,Macaca nemestrina
Macaca nemestrina,2:30:00 PM,0.6042,Macaca nemestrina
Macaca nemestrina,2:00:00 PM,0.5833,Macaca nemestrina
Macaca nemestrina,3:00:00 AM,0.1250,Macaca nemestrina
Macaca nemestrina,9:00:00 AM,0.3750,Macaca nemestrina
Macaca nemestrina,4:30:00 AM,0.1875,Macaca nemestrina
Macaca nemestrina,10:30:00 AM,0.4375,Macaca nemestrina
Macaca nemestrina,4:30:00 AM,0.1875,Macaca nemestrina
Macaca nemestrina,10:30:00 AM,0.4375,Macaca nemestrina
Macaca nemestrina,3:30:00 AM,0.1458,Macaca nemestrina
Macaca nemestrina,9:30:00 AM,0.3958,Macaca nemestrina
Macaca nemestrina,3:30:00 AM,0.1458,Macaca nemestrina
Macaca nemestrina,4:00:00 AM,0.1667,Macaca nemestrina
Macaca nemestrina,9:30:00 AM,0.3958,Macaca nemestrina
Macaca nemestrina,10:00:00 AM,0.4167,Macaca nemestrina
Macaca nemestrina,4:00:00 AM,0.1667,Macaca nemestrina
Macaca nemestrina,10:00:00 AM,0.4167,Macaca nemestrina
Macaca nemestrina,6:30:00 AM,0.2708,Macaca nemestrina
Macaca nemestrina,12:30:00 PM,0.5208,Macaca nemestrina
Macaca nemestrina,9:00:00 AM,0.3750,Macaca nemestrina
Macaca nemestrina,5:00:00 AM,0.2083,Macaca nemestrina
Macaca nemestrina,11:00:00 AM,0.4583,Macaca nemestrina
Macaca nemestrina,10:30:00 AM,0.4375,Macaca nemestrina
Macaca nemestrina,11:00:00 AM,0.4583,Macaca nemestrina
Macaca nemestrina,4:30:00 PM,0.6875,Macaca nemestrina
Macaca nemestrina,5:00:00 PM,0.7083,Macaca nemestrina
Macaca nemestrina,5:30:00 AM,0.2292,Macaca nemestrina
Macaca nemestrina,8:00:00 AM,0.3333,Macaca nemestrina
Macaca nemestrina,11:30:00 AM,0.4792,Macaca nemestrina
Macaca nemestrina,2:00:00 PM,0.5833,Macaca nemestrina
Macaca nemestrina,6:00:00 AM,0.2500,Macaca nemestrina
Macaca nemestrina,6:30:00 AM,0.2708,Macaca nemestrina
Macaca nemestrina,7:00:00 AM,0.2917,Macaca nemestrina
Macaca nemestrina,12:00:00 PM,0.5000,Macaca nemestrina
Macaca nemestrina,12:30:00 PM,0.5208,Macaca nemestrina
Macaca nemestrina,1:00:00 PM,0.5417,Macaca nemestrina
Macaca nemestrina,2:30:00 AM,0.1042,Macaca nemestrina
Macaca nemestrina,8:30:00 AM,0.3542,Macaca nemestrina
Macaca nemestrina,11:30:00 AM,0.4792,Macaca nemestrina
Macaca nemestrina,5:30:00 PM,0.7292,Macaca nemestrina
Macaca nemestrina,3:30:00 AM,0.1458,Macaca nemestrina
Macaca nemestrina,9:30:00 AM,0.3958,Macaca nemestrina
Macaca nemestrina,2:30:00 AM,0.1042,Macaca nemestrina
Macaca nemestrina,8:30:00 AM,0.3542,Macaca nemestrina
Macaca nemestrina,9:00:00 AM,0.3750,Macaca nemestrina
Macaca nemestrina,9:30:00 AM,0.3958,Macaca nemestrina
Macaca nemestrina,3:00:00 PM,0.6250,Macaca nemestrina
Macaca nemestrina,3:30:00 PM,0.6458,Macaca nemestrina
Macaca nemestrina,1:00:00 AM,0.0417,Macaca nemestrina
Macaca nemestrina,2:00:00 AM,0.0833,Macaca nemestrina
Macaca nemestrina,2:30:00 AM,0.1042,Macaca nemestrina
Macaca nemestrina,7:00:00 AM,0.2917,Macaca nemestrina
Macaca nemestrina,8:00:00 AM,0.3333,Macaca nemestrina
Macaca nemestrina,8:30:00 AM,0.3542,Macaca nemestrina
Macaca nemestrina,2:00:00 AM,0.0833,Macaca nemestrina
Macaca nemestrina,2:30:00 AM,0.1042,Macaca nemestrina
Macaca nemestrina,8:00:00 AM,0.3333,Macaca nemestrina
Macaca nemestrina,8:30:00 AM,0.3542,Macaca nemestrina
Macaca nemestrina,8:00:00 AM,0.3333,Macaca nemestrina
Macaca nemestrina,9:00:00 AM,0.3750,Macaca nemestrina
Macaca nemestrina,2:00:00 PM,0.5833,Macaca nemestrina
Macaca nemestrina,3:00:00 PM,0.6250,Macaca nemestrina
Macaca nemestrina,4:30:00 AM,0.1875,Macaca nemestrina
Macaca nemestrina,5:00:00 AM,0.2083,Macaca nemestrina
Macaca nemestrina,10:30:00 AM,0.4375,Macaca nemestrina
Macaca nemestrina,11:00:00 AM,0.4583,Macaca nemestrina
Macaca nemestrina,3:30:00 AM,0.1458,Macaca nemestrina
Macaca nemestrina,9:30:00 AM,0.3958,Macaca nemestrina
Macaca nemestrina,3:30:00 AM,0.1458,Macaca nemestrina
Macaca nemestrina,4:00:00 AM,0.1667,Macaca nemestrina
Macaca nemestrina,9:30:00 AM,0.3958,Macaca nemestrina
Macaca nemestrina,10:00:00 AM,0.4167,Macaca nemestrina
Macaca nemestrina,5:00:00 AM,0.2083,Macaca nemestrina
Macaca nemestrina,11:00:00 AM,0.4583,Macaca nemestrina
Macaca nemestrina,1:00:00 PM,0.5417,Macaca nemestrina
Macaca nemestrina,7:00:00 AM,0.2917,Macaca nemestrina
Macaca nemestrina,1:00:00 PM,0.5417,Macaca nemestrina
Macaca nemestrina,5:30:00 AM,0.2292,Macaca nemestrina
Macaca nemestrina,11:30:00 AM,0.4792,Macaca nemestrina
Macaca nemestrina,4:00:00 AM,0.1667,Macaca nemestrina
Macaca nemestrina,10:00:00 AM,0.4167,Macaca nemestrina
Macaca nemestrina,4:30:00 AM,0.1875,Macaca nemestrina
Macaca nemestrina,10:30:00 AM,0.4375,Macaca nemestrina
Macaca nemestrina,9:30:00 AM,0.3958,Macaca nemestrina
Macaca nemestrina,3:30:00 PM,0.6458,Macaca nemestrina
Macaca nemestrina,1:00:00 AM,0.0417,Macaca nemestrina
Macaca nemestrina,7:00:00 AM,0.2917,Macaca nemestrina
Macaca nemestrina,5:30:00 AM,0.2292,Macaca nemestrina
Macaca nemestrina,11:30:00 AM,0.4792,Macaca nemestrina
Macaca nemestrina,1:00:00 PM,0.5417,Macaca nemestrina
Macaca nemestrina,10:00:00 AM,0.4167,Macaca nemestrina
Macaca nemestrina,8:00:00 AM,0.3333,Macaca nemestrina
Macaca nemestrina,2:00:00 PM,0.5833,Macaca nemestrina
Macaca nemestrina,7:00:00 AM,0.2917,Macaca nemestrina
Macaca nemestrina,3:30:00 PM,0.6458,Macaca nemestrina
Macaca nemestrina,4:30:00 PM,0.6875,Macaca nemestrina
Macaca nemestrina,9:30:00 AM,0.3958,Macaca nemestrina
Macaca nemestrina,12:00:00 PM,0.5000,Macaca nemestrina
Macaca nemestrina,12:00:00 PM,0.5000,Macaca nemestrina
Macaca nemestrina,12:00:00 PM,0.5000,Macaca nemestrina
Macaca nemestrina,12:30:00 PM,0.5208,Macaca nemestrina
Macaca nemestrina,9:00:00 AM,0.3750,Macaca nemestrina
Macaca nemestrina,11:30:00 AM,0.4792,Macaca nemestrina
Macaca nemestrina,7:00:00 AM,0.2917,Macaca nemestrina
Macaca nemestrina,7:30:00 AM,0.3125,Macaca nemestrina
Macaca nemestrina,3:00:00 AM,0.1250,Macaca nemestrina
Macaca nemestrina,3:30:00 AM,0.1458,Macaca nemestrina
Macaca nemestrina,9:00:00 AM,0.3750,Macaca nemestrina
Macaca nemestrina,9:30:00 AM,0.3958,Macaca nemestrina
Macaca nemestrina,1:30:00 AM,0.0625,Macaca nemestrina
Macaca nemestrina,7:30:00 AM,0.3125,Macaca nemestrina
Macaca nemestrina,2:30:00 AM,0.1042,Macaca nemestrina
Macaca nemestrina,8:30:00 AM,0.3542,Macaca nemestrina
Macaca nemestrina,8:00:00 AM,0.3333,Macaca nemestrina
Macaca nemestrina,8:30:00 AM,0.3542,Macaca nemestrina
Macaca nemestrina,2:00:00 PM,0.5833,Macaca nemestrina
Macaca nemestrina,2:30:00 PM,0.6042,Macaca nemestrina
Macaca nemestrina,10:00:00 AM,0.4167,Macaca nemestrina
Macaca nemestrina,4:00:00 PM,0.6667,Macaca nemestrina
Macaca nemestrina,1:00:00 AM,0.0417,Macaca nemestrina
Macaca nemestrina,7:00:00 AM,0.2917,Macaca nemestrina
Macaca nemestrina,7:30:00 AM,0.3125,Macaca nemestrina
Macaca nemestrina,1:30:00 PM,0.5625,Macaca nemestrina
Macaca nemestrina,11:00:00 AM,0.4583,Macaca nemestrina
Macaca nemestrina,5:00:00 PM,0.7083,Macaca nemestrina
Macaca nemestrina,4:00:00 AM,0.1667,Macaca nemestrina
Macaca nemestrina,4:30:00 AM,0.1875,Macaca nemestrina
Macaca nemestrina,10:00:00 AM,0.4167,Macaca nemestrina
Macaca nemestrina,10:30:00 AM,0.4375,Macaca nemestrina
Macaca nemestrina,4:30:00 PM,0.6875,Macaca nemestrina
Macaca nemestrina,4:30:00 AM,0.1875,Macaca nemestrina
Macaca nemestrina,10:30:00 AM,0.4375,Macaca nemestrina
Macaca nemestrina,5:30:00 AM,0.2292,Macaca nemestrina
Macaca nemestrina,11:30:00 AM,0.4792,Macaca nemestrina
Macaca nemestrina,12:30:00 PM,0.5208,Macaca nemestrina
Macaca nemestrina,4:00:00 AM,0.1667,Macaca nemestrina
Macaca nemestrina,10:00:00 AM,0.4167,Macaca nemestrina
Macaca nemestrina,7:00:00 AM,0.2917,Macaca nemestrina
Macaca nemestrina,7:30:00 AM,0.3125,Macaca nemestrina
Macaca nemestrina,1:00:00 PM,0.5417,Macaca nemestrina
Macaca nemestrina,1:30:00 PM,0.5625,Macaca nemestrina
Macaca nemestrina,8:00:00 AM,0.3333,Macaca nemestrina
Macaca nemestrina,2:00:00 PM,0.5833,Macaca nemestrina
Macaca nemestrina,4:30:00 AM,0.1875,Macaca nemestrina
Macaca nemestrina,10:30:00 AM,0.4375,Macaca nemestrina
Macaca nemestrina,5:30:00 AM,0.2292,Macaca nemestrina
Macaca nemestrina,11:30:00 AM,0.4792,Macaca nemestrina
Macaca nemestrina,8:30:00 AM,0.3542,Macaca nemestrina
Macaca nemestrina,2:30:00 PM,0.6042,Macaca nemestrina
Macaca nemestrina,1:00:00 AM,0.0417,Macaca nemestrina
Macaca nemestrina,7:00:00 AM,0.2917,Macaca nemestrina
Macaca nemestrina,10:30:00 AM,0.4375,Macaca nemestrina
Macaca nemestrina,3:30:00 AM,0.1458,Macaca nemestrina
Macaca nemestrina,9:30:00 AM,0.3958,Macaca nemestrina
Macaca nemestrina,2:30:00 AM,0.1042,Macaca nemestrina
Macaca nemestrina,8:30:00 AM,0.3542,Macaca nemestrina
Macaca nemestrina,9:00:00 AM,0.3750,Macaca nemestrina
Macaca nemestrina,3:00:00 PM,0.6250,Macaca nemestrina
Macaca nemestrina,7:30:00 AM,0.3125,Macaca nemestrina
Macaca nemestrina,1:30:00 PM,0.5625,Macaca nemestrina
Macaca nemestrina,2:30:00 AM,0.1042,Macaca nemestrina
Macaca nemestrina,8:30:00 AM,0.3542,Macaca nemestrina
Macaca nemestrina,9:00:00 AM,0.3750,Macaca nemestrina
Macaca nemestrina,9:30:00 AM,0.3958,Macaca nemestrina
Macaca nemestrina,3:00:00 PM,0.6250,Macaca nemestrina
Macaca nemestrina,3:30:00 PM,0.6458,Macaca nemestrina
Macaca nemestrina,5:00:00 AM,0.2083,Macaca nemestrina
Macaca nemestrina,11:00:00 AM,0.4583,Macaca nemestrina
Macaca nemestrina,2:00:00 AM,0.0833,Macaca nemestrina
Macaca nemestrina,2:30:00 AM,0.1042,Macaca nemestrina
Macaca nemestrina,8:00:00 AM,0.3333,Macaca nemestrina
Macaca nemestrina,8:30:00 AM,0.3542,Macaca nemestrina
Macaca nemestrina,4:00:00 AM,0.1667,Macaca nemestrina
Macaca nemestrina,10:00:00 AM,0.4167,Macaca nemestrina
Macaca nemestrina,4:30:00 AM,0.1875,Macaca nemestrina
Macaca nemestrina,10:30:00 AM,0.4375,Macaca nemestrina
Macaca nemestrina,4:00:00 AM,0.1667,Macaca nemestrina
Macaca nemestrina,10:00:00 AM,0.4167,Macaca nemestrina
Macaca nemestrina,9:00:00 AM,0.3750,Macaca nemestrina
Macaca nemestrina,3:00:00 PM,0.6250,Macaca nemestrina
Macaca nemestrina,3:00:00 AM,0.1250,Macaca nemestrina
Macaca nemestrina,3:30:00 AM,0.1458,Macaca nemestrina
Macaca nemestrina,9:00:00 AM,0.3750,Macaca nemestrina
Macaca nemestrina,9:30:00 AM,0.3958,Macaca nemestrina
Macaca nemestrina,6:30:00 AM,0.2708,Macaca nemestrina
Macaca nemestrina,12:30:00 PM,0.5208,Macaca nemestrina
Macaca nemestrina,8:00:00 AM,0.3333,Macaca nemestrina
Macaca nemestrina,8:30:00 AM,0.3542,Macaca nemestrina
Macaca nemestrina,2:00:00 PM,0.5833,Macaca nemestrina
Macaca nemestrina,2:30:00 PM,0.6042,Macaca nemestrina
Macaca nemestrina,10:00:00 AM,0.4167,Macaca nemestrina
Macaca nemestrina,4:00:00 PM,0.6667,Macaca nemestrina
Macaca nemestrina,3:00:00 AM,0.1250,Macaca nemestrina
Macaca nemestrina,9:00:00 AM,0.3750,Macaca nemestrina
Macaca nemestrina,5:00:00 AM,0.2083,Macaca nemestrina
Macaca nemestrina,11:00:00 AM,0.4583,Macaca nemestrina
Macaca nemestrina,8:30:00 AM,0.3542,Macaca nemestrina
Macaca nemestrina,2:30:00 PM,0.6042,Macaca nemestrina
Macaca nemestrina,9:00:00 AM,0.3750,Macaca nemestrina
Macaca nemestrina,3:00:00 PM,0.6250,Macaca nemestrina
Macaca nemestrina,7:30:00 AM,0.3125,Macaca nemestrina
Macaca nemestrina,1:30:00 PM,0.5625,Macaca nemestrina
Macaca nemestrina,2:30:00 AM,0.1042,Macaca nemestrina
Macaca nemestrina,3:00:00 AM,0.1250,Macaca nemestrina
Macaca nemestrina,8:30:00 AM,0.3542,Macaca nemestrina
Macaca nemestrina,9:00:00 AM,0.3750,Macaca nemestrina
Macaca nemestrina,9:30:00 AM,0.3958,Macaca nemestrina
Macaca nemestrina,3:30:00 PM,0.6458,Macaca nemestrina
Macaca nemestrina,1:30:00 AM,0.0625,Macaca nemestrina
Macaca nemestrina,7:30:00 AM,0.3125,Macaca nemestrina
Macaca nemestrina,1:30:00 AM,0.0625,Macaca nemestrina
Macaca nemestrina,7:30:00 AM,0.3125,Macaca nemestrina
Macaca nemestrina,9:00:00 AM,0.3750,Macaca nemestrina
Macaca nemestrina,3:00:00 PM,0.6250,Macaca nemestrina
Macaca nemestrina,2:00:00 AM,0.0833,Macaca nemestrina
Macaca nemestrina,8:00:00 AM,0.3333,Macaca nemestrina
Macaca nemestrina,9:00:00 AM,0.3750,Macaca nemestrina
Macaca nemestrina,3:00:00 PM,0.6250,Macaca nemestrina
Macaca nemestrina,7:00:00 AM,0.2917,Macaca nemestrina
Macaca nemestrina,9:00:00 AM,0.3750,Macaca nemestrina
Macaca nemestrina,9:30:00 AM,0.3958,Macaca nemestrina
Macaca nemestrina,3:30:00 PM,0.6458,Macaca nemestrina
Macaca nemestrina,10:30:00 AM,0.4375,Macaca nemestrina
Macaca nemestrina,11:30:00 AM,0.4792,Macaca nemestrina
Macaca nemestrina,9:30:00 AM,0.3958,Macaca nemestrina
Macaca nemestrina,7:00:00 AM,0.2917,Macaca nemestrina
Macaca nemestrina,11:30:00 AM,0.4792,Macaca nemestrina
Macaca nemestrina,12:00:00 PM,0.5000,Macaca nemestrina
Macaca nemestrina,7:00:00 AM,0.2917,Macaca nemestrina
Macaca nemestrina,9:00:00 AM,0.3750,Macaca nemestrina
Macaca nemestrina,12:00:00 PM,0.5000,Macaca nemestrina
Macaca nemestrina,8:30:00 AM,0.3542,Macaca nemestrina
Macaca nemestrina,12:30:00 PM,0.5208,Macaca nemestrina
Macaca nemestrina,9:30:00 AM,0.3958,Macaca nemestrina
Macaca nemestrina,1:00:00 PM,0.5417,Macaca nemestrina
Macaca nemestrina,12:00:00 PM,0.5000,Macaca nemestrina
Macaca nemestrina,5:00:00 PM,0.7083,Macaca nemestrina
Macaca nemestrina,7:00:00 AM,0.2917,Macaca nemestrina
Macaca nemestrina,10:00:00 AM,0.4167,Macaca nemestrina
Macaca nemestrina,1:30:00 PM,0.5625,Macaca nemestrina
Macaca nemestrina,2:00:00 PM,0.5833,Macaca nemestrina
Macaca nemestrina,4:30:00 PM,0.6875,Macaca nemestrina
Macaca nemestrina,10:00:00 AM,0.4167,Macaca nemestrina
Macaca nemestrina,7:00:00 AM,0.2917,Macaca nemestrina
Macaca nemestrina,10:00:00 AM,0.4167,Macaca nemestrina
Macaca nemestrina,1:30:00 PM,0.5625,Macaca nemestrina
Macaca nemestrina,11:00:00 AM,0.4583,Macaca nemestrina
Macaca nemestrina,3:00:00 PM,0.6250,Macaca nemestrina
Macaca nemestrina,3:30:00 PM,0.6458,Macaca nemestrina
Macaca nemestrina,6:30:00 AM,0.2708,Macaca nemestrina
Macaca nemestrina,7:30:00 AM,0.3125,Macaca nemestrina
Macaca nemestrina,7:00:00 AM,0.2917,Macaca nemestrina
Macaca nemestrina,1:30:00 PM,0.5625,Macaca nemestrina
Macaca nemestrina,10:00:00 AM,0.4167,Macaca nemestrina
Macaca nemestrina,9:00:00 AM,0.3750,Macaca nemestrina
Macaca nemestrina,12:00:00 PM,0.5000,Macaca nemestrina
Macaca nemestrina,9:30:00 AM,0.3958,Macaca nemestrina
Macaca nemestrina,2:30:00 PM,0.6042,Macaca nemestrina
Macaca nemestrina,12:00:00 PM,0.5000,Macaca nemestrina
Macaca nemestrina,7:00:00 AM,0.2917,Macaca nemestrina
Macaca nemestrina,6:30:00 AM,0.2708,Macaca nemestrina
Macaca nemestrina,3:30:00 PM,0.6458,Macaca nemestrina
Macaca nemestrina,1:30:00 PM,0.5625,Macaca nemestrina
Macaca nemestrina,11:30:00 AM,0.4792,Macaca nemestrina
Macaca nemestrina,1:30:00 PM,0.5625,Macaca nemestrina
Macaca nemestrina,9:30:00 AM,0.3958,Macaca nemestrina
Macaca nemestrina,10:00:00 AM,0.4167,Macaca nemestrina
Macaca nemestrina,4:30:00 PM,0.6875,Macaca nemestrina
Macaca nemestrina,6:30:00 AM,0.2708,Macaca nemestrina
Macaca nemestrina,8:00:00 AM,0.3333,Macaca nemestrina
Macaca nemestrina,4:00:00 PM,0.6667,Macaca nemestrina
Macaca nemestrina,4:30:00 PM,0.6875,Macaca nemestrina
Macaca nemestrina,5:00:00 PM,0.7083,Macaca nemestrina
Macaca nemestrina,8:00:00 AM,0.3333,Macaca nemestrina
Macaca nemestrina,8:30:00 AM,0.3542,Macaca nemestrina
Macaca nemestrina,10:00:00 AM,0.4167,Macaca nemestrina
Macaca nemestrina,10:30:00 AM,0.4375,Macaca nemestrina
Macaca nemestrina,8:00:00 AM,0.3333,Macaca nemestrina
Macaca nemestrina,1:00:00 PM,0.5417,Macaca nemestrina
Macaca nemestrina,9:00:00 AM,0.3750,Macaca nemestrina
Macaca nemestrina,10:00:00 AM,0.4167,Macaca nemestrina
Macaca nemestrina,9:00:00 AM,0.3750,Macaca nemestrina
Macaca nemestrina,12:30:00 PM,0.5208,Macaca nemestrina
Macaca nemestrina,7:30:00 AM,0.3125,Macaca nemestrina
Macaca nemestrina,10:00:00 AM,0.4167,Macaca nemestrina
Macaca nemestrina,12:00:00 PM,0.5000,Macaca nemestrina
Macaca nemestrina,8:00:00 AM,0.3333,Macaca nemestrina
Macaca nemestrina,9:00:00 AM,0.3750,Macaca nemestrina
Macaca nemestrina,1:00:00 PM,0.5417,Macaca nemestrina
Macaca nemestrina,1:30:00 PM,0.5625,Macaca nemestrina
Macaca nemestrina,8:30:00 AM,0.3542,Macaca nemestrina
Macaca nemestrina,2:30:00 PM,0.6042,Macaca nemestrina
Macaca nemestrina,9:30:00 AM,0.3958,Macaca nemestrina
Macaca nemestrina,8:00:00 AM,0.3333,Macaca nemestrina
Macaca nemestrina,12:30:00 PM,0.5208,Macaca nemestrina
Macaca nemestrina,12:30:00 PM,0.5208,Macaca nemestrina
Macaca nemestrina,10:30:00 AM,0.4375,Macaca nemestrina
Macaca nemestrina,12:30:00 PM,0.5208,Macaca nemestrina
Macaca nemestrina,5:00:00 PM,0.7083,Macaca nemestrina
Macaca nemestrina,3:30:00 PM,0.6458,Macaca nemestrina
Macaca nemestrina,3:00:00 PM,0.6250,Macaca nemestrina
Macaca nemestrina,4:30:00 PM,0.6875,Macaca nemestrina
Macaca nemestrina,6:00:00 AM,0.2500,Macaca nemestrina
Macaca nemestrina,7:00:00 AM,0.2917,Macaca nemestrina
Macaca nemestrina,12:00:00 PM,0.5000,Macaca nemestrina
Macaca nemestrina,12:30:00 PM,0.5208,Macaca nemestrina
Macaca nemestrina,1:00:00 PM,0.5417,Macaca nemestrina
Macaca nemestrina,7:30:00 AM,0.3125,Macaca nemestrina
Macaca nemestrina,11:30:00 AM,0.4792,Macaca nemestrina
Macaca nemestrina,12:00:00 PM,0.5000,Macaca nemestrina
Macaca nemestrina,6:00:00 AM,0.2500,Macaca nemestrina
Macaca nemestrina,12:30:00 PM,0.5208,Macaca nemestrina
Macaca nemestrina,1:30:00 PM,0.5625,Macaca nemestrina
Macaca nemestrina,2:00:00 PM,0.5833,Macaca nemestrina
Macaca nemestrina,7:00:00 AM,0.2917,Macaca nemestrina
Macaca nemestrina,3:00:00 PM,0.6250,Macaca nemestrina
Macaca nemestrina,2:00:00 PM,0.5833,Macaca nemestrina
Macaca nemestrina,1:00:00 PM,0.5417,Macaca nemestrina
Macaca nemestrina,3:00:00 PM,0.6250,Macaca nemestrina
Macaca nemestrina,3:30:00 PM,0.6458,Macaca nemestrina
Macaca nemestrina,11:00:00 AM,0.4583,Macaca nemestrina
Macaca nemestrina,2:30:00 PM,0.6042,Macaca nemestrina
Macaca nemestrina,4:00:00 PM,0.6667,Macaca nemestrina
Macaca nemestrina,9:30:00 AM,0.3958,Macaca nemestrina
Macaca nemestrina,7:00:00 AM,0.2917,Macaca nemestrina
Macaca nemestrina,10:00:00 AM,0.4167,Macaca nemestrina
Macaca nemestrina,8:30:00 AM,0.3542,Macaca nemestrina
